T,M,W
0,5,5
1,6,8
2,8,11
3,11,13
4,10,14
5,11,12
6,15,15
7,19,16
8,25,17
9,32,16
10,41,15
11,48,14
12,59,13
13,72,12
14,90,12
15,108,12
16,129,14
17,150,13
18,172,10
19,190,9
20,213,11
21,241,11
22,255,12
23,281,12
24,303,12
25,334,13
26,361,15
27,392,15
28,418,15
29,438,16
30,457,17
31,476,18
32,496,17
33,512,18
34,522,19
35,528,18
36,525,17
37,525,16
38,525,16
39,524,20
40,521,20
41,516,23
42,508,26
43,506,28
44,504,28
45,500,28
46,501,26
47,496,24
48,493,25
49,493,26
50,495,27
51,494,27
52,495,26
53,497,27
54,497,26
55,495,31
56,492,31
57,489,32
58,490,30
59,489,29
60,487,28
61,486,26
62,491,30
63,490,27
64,487,30
65,487,32
66,492,33
67,490,36
68,486,37
69,485,35
70,484,40
71,479,41
72,476,40
73,471,40
74,466,39
75,464,41
76,463,40
77,454,42
78,454,47
79,449,45
80,449,50
81,445,52
82,437,49
83,438,52
84,437,52
85,437,51
86,436,52
87,438,50
88,435,49
89,429,47
90,426,47
91,427,49
92,425,50
93,428,58
94,423,55
95,421,64
96,414,65
97,408,66
98,399,65
99,392,69
100,383,73
101,374,76
102,367,78
103,358,76
104,346,73
105,341,75
106,328,74
107,321,78
108,316,77
109,309,77
110,300,78
111,289,81
112,274,79
113,264,87
114,253,88
115,245,91
116,232,92
117,221,83
118,210,84
119,205,79
120,194,78
121,186,76
122,179,75
123,175,76
124,166,79
125,159,79
126,157,75
127,156,76
128,149,73
129,148,72
130,146,76
131,145,69
132,143,72
133,146,71
134,151,72
135,155,80
136,158,76
137,161,78
138,166,71
139,164,67
140,164,65
141,171,61
142,179,63
143,180,59
144,185,56
145,196,53
146,206,54
147,210,54
148,222,55
149,233,57
150,249,52
151,258,51
152,270,53
153,285,53
154,295,59
155,297,58
156,306,60
157,314,62
158,318,56
159,323,58
160,325,55
