  T    M    W
  0   15    4
  1   18    5
  2   25    7
  3   28    9
  4   30    9
  5   34    7
  6   34    7
  7   35    7
  8   38    6
  9   38    7
  10   42    8
  11   51    9
  12   56    8
  13   61    7
  14   63    7
  15   64    8
  16   64    8
  17   62    8
  18   59    8
  19   60    9
  20   59    11
  21   59    12
  22   59    11
  23   57    11
  24   53    10
  25   52    10
  26   53    11
  27   52    11
  28   51    12
  29   50    11
  30   49    11
  31   47    12
  32   44    12
  33   44    15
  34   42    15
  35   41    17
  36   38    17
  37   34    19
  38   33    20
  39   25    20
  40   23    19
